,Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
358,House 5 Hotel,Gwarinpa,"Gwarinpa, Abuja - 4 House Hotel No 5 A Close 7th Avenue.",NA,Hotel,469,6.5 Very Good,From 17 reviews
359,City Capitol Hotel,Wuse,"Wuse, Abuja - 4 Atakpame Street, Off Ademola Adetokunbo Crescent...",NA,Hotel,462,NA,NA
360,Hotel Millennium,Wuse,"Wuse, Abuja - Plot 1906 Sokode Crescent, Off Dalaba Street, Mich...","₦8,000",Hotel Millennium,460,NA,NA
361,"Dannic Hotels, Garki Abuja",Garki,"Garki, Abuja - Plot 93 Oyo Street, Off Moshood Abiola Way, Area 2...","₦12,000",Hotel,430,6.2 Very Good,From 5 reviews
362,Green Mike Hotel Formerly (Royal Tropicana Hotel),Utako,"Utako, Abuja - Plot 764, Cadastral Zone B05, Utako","₦17,000",Hotel,426,7.1 Very Good,From 4 reviews
363,Kryxtal Suites Wuse 2,Wuse 2,"Wuse 2, Abuja - 120, Aminu Kano Crescent ","₦14,400",Boutique Hotel,423,NA,NA
364,L'abuja Guest Inn,Maitama,"Maitama, Abuja - 25, Limpopo Street, Maitama, Abuja, FCT","₦6,200",L'abuja Guest Inn,419,NA,NA
365,Ozas Suites And Garden,Karu,"Karu, Abuja - 5, Itsekiri Way , Off Yoruba Way, ","₦6,050",Hotel,570,7.2 Very Good,From 2 reviews
366,Siman Suites Hotel,Garki,"Garki, Abuja - Plot 2163 Area 11, Malumfashi Close","₦13,000",Hotel,378,6.5 Very Good,From 3 reviews
367,Vine Apartment,Garki,"Garki, Abuja - No 13, Ogbomosho Street, Area 8, Garki","₦12,000",Apartment,371,NA,NA
368,La Pour Hotel,Utako,"Utako, Abuja - Plot 794, Okonjo-iweala Way, Utako District, Opp G...","₦13,000",Hotel,363,NA,NA
369,Berkshire Hotel (Maitama),Maitama,"Maitama, Abuja - 6 Asa Street Off Usuma, Maitama Abuja, Nigeria ",NA,Hotel,354,7.5 Very Good,From 9 reviews
370,Agete Luxury Hotel,Gwarinpa,"Gwarinpa, Abuja - C33/34 522 Road, First Avenue, Beside Fin Bank",NA,Hotel,343,7.6 Very Good,From 20 reviews
371,Sinoni Lodge,Wuse,"Wuse, Abuja - 40 Birao Street","₦15,150",Hotel,324,NA,NA
372,Kas Guest House Limited,Kubwa,"Kubwa, Abuja - Plot 48 Alhaji Audu Road, Off Wokili Avenue","₦5,750",Hotel,306,NA,NA
373,Musada Luxury Hotels And Suites,Wuse 2,"Wuse 2, Abuja - No. 3 Nola Close, Off Bangui Street, Wuse 2","₦8,000",Musada Luxury Hotels And Suites,294,7.5 Very Good,From 4 reviews
374,Cijel Residence,Garki,"Garki, Abuja - No. 2 Asaba Close, Area11","₦15,000",Cijel Residence,287,7.6 Very Good,From 1 review
375,Ajoy Hotels ,Gwarinpa,"Gwarinpa, Abuja - Plot 757, 69A Road 2 Crescent, Gwarinpa Estate.","₦10,000",Hotel,274,NA,NA
376,The Edge By Wellness,Gwarinpa,"Gwarinpa, Abuja - No.1 C-Close, 4th Avenue, Citec Villa, Gwarinpa","₦14,997",Hotel,257,NA,NA
377,Kapino Suite, Wuse 2," Wuse 2, Abuja - Plot 128 Aminu Kano Crescent, Wuse 2","₦17,000",Hotel,252,NA,NA
378,Nordy Hotels,Utako,"Utako, Abuja -  No 15 Inuwa Wada Crescent Off TOS Benson Crescent...","₦12,400",Hotel,250,7.8 Very Good,From 8 reviews
379,Haribina Hotel,Utako,"Utako, Abuja - 1 Aja Nwachukwu Close Utako District Before Cbn Qt...","₦10,750",Hotel,248,6.8 Very Good,From 4 reviews
380, Kebbi Hotel,Central Business District,"Central Business District, Abuja - Plot 70, Kur Mohamed Street, Off Ahmadu Bello Way","₦11,500",Boutique Hotel,248,NA,NA
381,Tamara Guest Inn,Wuse,"Wuse, Abuja - No. 51 Abidjan Street, Zone 3","₦9,000",Hotel,366,NA,NA
382,Arewa Suites,Central Business District,"Central Business District, Abuja - Samuel Adesoji Ademulegun Street, Off Central Herb...","₦10,350",Hotel,237,6.3 Very Good,From 6 reviews
383,Sumed Suites,Gwarinpa,"Gwarinpa, Abuja - Commercial Layout By 1st Avenue Behind LG Office ","₦15,000",Hotel,235,NA,NA
384,Sinclair Guest House,Abuja,"Abuja, Abuja - 30 Yedseram Street Maitama","₦25,500",Guest House,114,NA,NA
385,Top View Hotel,Wuse,"Wuse, Abuja - 6 Algiers Street, Zone 5","₦15,100",Hotel,214,6.3 Very Good,From 6 reviews
386,SUPREME PLACE HOTEL,Garki ,"Garki , Abuja - Plot 2113 Imo Crescent, Area 1","₦8,000",Hotel,205,7.5 Very Good,From 3 reviews
387,Ivories Global Resort,Gwagwalada,"Gwagwalada, Abuja - Plot 63, Phase 2, Opposite University Of Abuja",NA,Resort,200,NA,NA
388,Algos Suites ,Kubwa,"Kubwa, Abuja - Plot 106 Commercial Layout, Byazhin Road","₦8,000",Hotel,190,6.7 Very Good,From 3 reviews
389,Olive Garden Guest Inn,Garki,"Garki, Abuja - Plot 79, Lagos Crescent","₦6,000",Olive Garden Guest Inn,186,NA,NA
390,Bellagio Hotels,Wuse,"Wuse, Abuja - No 5 Libreville Street Off Aminu Kano Crescent","₦13,500",Hotel,185,NA,NA
391,Kapital Klub ,Asokoro,"Asokoro, Abuja - No 3, Gamal Abdul Nasser Close, Near World Bank, A...","₦50,000",Hotel,185,NA,NA
392,Berkshire Hotel (Asokoro),Asokoro,"Asokoro, Abuja - 7, Mousa Traore Street, After Ecowas Building By T...",NA,Hotel,172,7.4 Very Good,From 4 reviews
393,Amso International Hotels,Wuse Zone 6,"Wuse Zone 6, Abuja - Plot 85 Yaounde Street","₦15,000",Hotel,172,NA,NA
394,Pinda Valley Resort,Garki,"Garki, Abuja - 32 Oke Agba Street Off S.L Akintola Boulevard Gark...","₦6,000",Hotel,164,NA,NA
395,Barcelona Residency,Wuse 2,"Wuse 2, Abuja - No. 14, Blantyre Street, Off Ademola Adetokunbo Cr...","₦25,000",Barcelona Residency,164,NA,NA
396,Pedallo Luxury Inn,Kubwa,"Kubwa, Abuja - Gado Opposites Lagos Street, Before Phase IV Bridg...","₦5,000",Hotel,162,7.7 Very Good,From 3 reviews
397,Habitat Guest House,Gwarinpa,"Gwarinpa, Abuja -  2 Stephen Oronsaye Street Off Sa'adu Zungur 4th A...","₦10,500",Hotel,159,NA,NA
398,Cupid Suites Restaurant ,Kubwa,"Kubwa, Abuja - Plot C32 Sultan Dasuki Road 2/2 Kubwa","₦6,500",Hotel,157,NA,NA
399,Aries Court Apartment,Abuja,"Abuja, Abuja - House 1, Andorra Crescent, Sun City Estate, Galadi...","₦12,000",Hotel,157,NA,NA
400,Davvy Hotel,Jabi,"Jabi, Abuja - High Court Of Binawari Street, Eteqwe.","₦13,650",Hotel,144,NA,NA
401,Hotel De Lamitel Annex,Kado Kuchi,"Kado Kuchi, Abuja - Behind Banex Fly Over, Kado New Gwarinpa Road, F.C...","₦7,500",Hotel,142,7.6 Very Good,From 1 review
402,Amanda Guest Inn ,Wuse,"Wuse, Abuja - 4 Lumumbashi Street Ibrahim Abacha Estate","₦6,000",Hotel,140,NA,NA
403,Empress Ramdavoc Motel,Wuse,"Wuse, Abuja - No 6 Atakpame Street Off Aminu Kano Crescent","₦5,000",Hotel,140,NA,NA
404,WestPoint Hotel,Wuse,"Wuse, Abuja - Behind NAFDAC Office Plot 2038 Masaka Close Wuse Z...","₦15,000",Hotel,138,NA,NA
405,Excel Hotel,Garki ,"Garki , Abuja - Plot 28 Okemesi Crescent, By Old CBN, Off Mohammed...","₦15,000",Hotel,276,NA,NA
406,Pauliham Hotels ,Gwarinpa,"Gwarinpa, Abuja - Plot 520, 1st Avenue, Opposite Naval Quaters ","₦20,925",Hotel,136,6.4 Very Good,From 3 reviews
407,Joshua Hotels,Wuse Zone 5,"Wuse Zone 5, Abuja - Plot 2424, No. 7, Damba Close , Along Sultan Abuba...","₦7,000",Hotel,127,NA,NA
408,Hossana House(Christian Foundation),Wuse,"Wuse, Abuja - 8,Quitting Close, Off Kolda Street, By Adetokunbo ...","₦6,450",Hossana House(Christian Foundation),187,NA,NA
409,Rayfield Hotel,Asokoro,"Asokoro, Abuja - No.35, Julius Nyerere Street, Off Yakubu Gowon Cre...","₦12,338",Hotel,125,NA,NA
410,Summer Guest House,Garki,"Garki, Abuja - Plot 125 Gado Nseko Road, Abathoni","₦5,000",Summer Guest House,121,NA,NA
411,Gloriana Hotel ,Garki,"Garki, Abuja - No 4-6 Okene Street, Area 2 Section 2, Garki. Abuj...","₦15,000",Hotel,120,NA,NA
412,Imperial Hotels Limited,Wuse,"Wuse, Abuja - 10 Konoko Crescent Opposite  App Plaza,Off Aminu K...","₦6,250",Hotel,173,NA,NA
413,Sweet Ville Hotel ,Lugbe,"Lugbe, Abuja - House D 32 FHA, Opposite Redeemed Church","₦4,500",Sweet Ville Hotel ,116,NA,NA
414,The Mediterranean Hotel,Asokoro,"Asokoro, Abuja - 42 Hon. Justice Mamman Nasir Crescent","₦25,000",Hotel,227,NA,NA
415,Harmonia Hotel,Garki,"Garki, Abuja - Plot 896 Gimbiya Street (By Rachel Eye Clinic Cent...","₦12,650",Hotel,112,NA,NA
416,Gracious Hotel,Garki,"Garki, Abuja - 29, Okemesi Crescent, New Polytechnic Layout (BY F...","₦12,000",Hotel,110,7.0 Very Good,From 2 reviews
417,D’Stolz Villa & Hospitality ,Life Camp,"Life Camp, Abuja - Plot 552E, Behind Urban Shelter Phase 2, Bellavue ...","₦15,200",Hotel,110,NA,NA
418,On-point Suites,Utako,"Utako, Abuja - 16E Ekukinam Street, Utako, Abuja","₦8,000",Hotel,103,NA,NA
419,Zees Luxury Hotel,Garki,"Garki, Abuja - Plot 718 Sentinel Crescent, Off American Internati...","₦25,000",Hotel,99,NA,NA
420,Mummy's Guest House,Utako,"Utako, Abuja - 20, Moses Majekodunmi Crescent","₦9,500",Hotel,97,NA,NA
421,SV Chrome Hotel,Jabi,"Jabi, Abuja - No. 101A Ebitu Ukiwe Street, Jabi, Abuja, FCT","₦109,000",Hotel,97,NA,NA
422,Hotel Dabras,Wuse,"Wuse, Abuja - 80, Aminu Kano Crescent, Wuse II, Abuja","₦14,000",Hotel,92,NA,NA
423,Tauba,Abuja,"Abuja, Abuja - Plot 1001 Ibrahim Tahir Lane, Off Shehu Musa Yarad...","₦15,000",Hotel,88,NA,NA
424,Monotechy Guest House,Kubwa,"Kubwa, Abuja - Opp. High Court, By Police Station, Phase IV","₦2,500",Monotechy Guest House,86,NA,NA
425,Nera Hotel (capitol Lake Hotel) ,Jabi,"Jabi, Abuja - 26 Alex Ekweme Way, Off Jabi Lake, Jabi, Abuja.","₦30,000",Hotel,80,NA,NA
426,Serob Legacy Hotels,Wuse,"Wuse, Abuja - Plot 686/687 Idris Gidado Street","₦10,500",Hotel,77,NA,NA
427,Countryside Guest House,Kubwa,"Kubwa, Abuja - Plot 115 117 Cadastral Zone 75, Off Gado Nasko Way...","₦3,500",Hotel,67,NA,NA
428,Palmac Hotels,Asokoro,"Asokoro, Abuja - Plot 2430, Muhammadu Ribadu Street, Near Force Qua...","₦16,000",Hotel,66,6.0 Very Good,From 1 review
429,Leredo Hotel,Mpape,"Mpape, Abuja - Julius Berger Quarry, Along Jikoko Road, Amac, Mpa...","₦2,000",Leredo Hotel,62,NA,NA
430,Tenache Hotels ,Maitama ,"Maitama , Abuja - No 3 Missouri Street, Off Colorado Minister's Hill...","₦32,000",Hotel,62,NA,NA
431,Valton Hotels Ltd,Garki,"Garki, Abuja - Plot 1933, Road 9, Apo Resettlement Estate, Apo","₦10,000",Hotel,58,NA,NA
432,Ellicot Citi Suites,Kubwa,"Kubwa, Abuja - Plot CD1 Extention III FCDA Scheme","₦7,500",Hotel,53,NA,NA
433,Maple Apartment,Life Camp,"Life Camp, Abuja - Salisu Lliyasu Street, After Holy Family Catholic ...","₦15,000",Hotel,53,NA,NA
434,Capital Roost,Maitama,"Maitama, Abuja - 2, Victoria Falls, Maitama. Off Lasale Street By C...","₦20,000",Hotel,51,NA,NA
435,A'avison Hotel,Garki,"Garki, Abuja - Plot 456, Kotangora Close, Off Jos Street, Area 3","₦9,800",Hotel,49,NA,NA
436,YSG Travellers Lodge,Wuse,"Wuse, Abuja -  5 Sokode Cresent, Wuse Zone 5","₦8,000",YSG Travellers Lodge,67,NA,NA
437,Odaka Hotels Limited,Kubwa,"Kubwa, Abuja - 47 Assemblies Of God Church Road, Near Road Safety...","₦3,500",Hotel,43,NA,NA
438,Nackovad Hotels,Wuse,"Wuse, Abuja - Plot 5 Kabale Close Off Sultan Abubakar Way Behind...","₦10,000",Hotel,43,NA,NA
439,Vilanda ,"Kuje,","Kuje,, Abuja - Plot 862, Kachiyako Layout, Garki Road Kuje,","₦3,600",Vilanda ,43,NA,NA
440,Dullion Suites,Maitama,"Maitama, Abuja - 4 Ikogosi Spring Close, Off Kastina Ala Crescent, ...","₦23,000",Hotel,41,NA,NA
441,Climax Hotels,Kubwa,"Kubwa, Abuja - Along Zuba Express Way, Zuba, Abuja, FCT","₦5,000",Climax Hotels,41,NA,NA
442,Ishakool Hotel,Garki 2,"Garki 2, Abuja - No 5, Oke- Agbe Street Off Ladoke Akintola Bouleva...","₦22,000",Hotel,40,NA,NA
443,Maz Hotel,Gwagwalada,"Gwagwalada, Abuja - 15 Lake City Avenue Phase 1, Gwagwalada","₦8,000",Hotel,40,NA,NA
444,Galilee Mission Guest House,Karu,"Karu, Abuja - Christian Street, Karu Site Behind Nepa Office And...","₦4,000",Hotel,40,NA,NA
445,Dominion Resort Limited,Kubwa,"Kubwa, Abuja - Plot 129 Commercial Layout, Opposite Liberty Hotel...","₦6,000",Dominion Resort Limited,38,NA,NA
446,Chesbury Hotel,Wuse,"Wuse, Abuja - Plot 2190 Gwani Street ","₦12,420",Hotel,36,NA,NA
447,Heavenly Royal Apartments,Katampe,"Katampe, Abuja - No.43 Patrick Yakowa Street Close To Federal Inlan...","₦15,000",Hotel,34,NA,NA
448,House De Prince Apartments ,Garki,"Garki, Abuja - Emeka Anyoku Street, Area 11, Garki, No. 68","₦9,930",Apartment,17,NA,NA
449,Gayyata Hotels & Garden,Kubwa,"Kubwa, Abuja - 2:1 New Site, Opposite Veteran Plaza","₦4,500",Hotel,30,NA,NA
450,Vines Hotel,Durumi,"Durumi, Abuja - 1104, Mohammed N. Umar Lane, Durumi","₦23,000",Hotel,30,NA,NA
451,Riverview Hotel,Gwagwalada,"Gwagwalada, Abuja - 6, Garba Jibril Street, Sharp Corner Road","₦3,500",Hotel,28,NA,NA
452,Aso Guest Inn ,Garki,"Garki, Abuja - Plot 7 S.L Akintola Boulevard Opposite Minting And...","₦7,000",Aso Guest Inn ,27,NA,NA
453,Kingsland Guest House,FCT,"FCT, Abuja - Kobi Makaranta, Guzape, Asokoro Extension","₦6,055",Guest House,14,NA,NA
454,The Palms Hotel ,Central Business District,"Central Business District, Abuja - Plot 269 Mohammadu Buhari Way, Central Business Di...","₦85,000",Hotel,27,NA,NA
455,Chess Pub Guest House,Garki,"Garki, Abuja - Beside Tantalizers Off Akintola Boulevard Opp CBN ...","₦8,000",Hotel,25,NA,NA
456,Apex Holiday Resort,Nyanya,"Nyanya, Abuja - Plot 42 Apex Avenue Phase 1 Layout, Nyanya ","₦4,000",Hotel,25,NA,NA
457,The Federal Polytechnic Guest House,Wuse,"Wuse, Abuja - 20 Messanya Street, Off Cotonou, Crescent","₦6,500",Hotel,23,6.2 Very Good,From 1 review
458,HOUSE 18TH APARTMENT,Gwarinpa,"Gwarinpa, Abuja - Sunny Okosun Street, 51st Crescent, 5th Avenue, ","₦12,000",HOUSE 18TH APARTMENT,23,NA,NA
459,Lily Grand Luxury And Apartments,Gwarinpa,"Gwarinpa, Abuja - No 95b Saadu Zugar Street, 4th Avenue, Gwarinpa","₦12,500",Hotel,23,NA,NA
460,Fayina Hotel Ltd,"Lugbe,","Lugbe,, Abuja - Plot 525 Zaudan/Saburi Four Bed Rooms, ","₦4,000",Fayina Hotel Ltd,23,NA,NA
461,Numero Uno Hotels ,Gwarinpa,"Gwarinpa, Abuja - 95A, Sa'ad Zungur Street, 4th Avenue, Gwarinpa, Ab...","₦14,500",Hotel,21,NA,NA
462,Ouppic Lodge,Gwarinpa,"Gwarinpa, Abuja -  House 6 ,3rd Avenue, Gwarimpa","₦10,000",Ouppic Lodge,21,NA,NA
463,Ene Senior Guest Inn,Gwarinpa,"Gwarinpa, Abuja - Back Of Crush Rock, Abuja, Gwarinpa","₦2,500",Ene Senior Guest Inn,21,NA,NA
464,Astot Leisure Gardens & Hotel,Karu,"Karu, Abuja - 1, Astort Close Off Victor Moore Lane, Opp. CBN Qu...","₦6,000",Astot Leisure Gardens & Hotel,19,NA,NA
465,The Alma Place Hotel,Wuse,"Wuse, Abuja - 3 Yawuri Street Opposite Taraba State Liason Offic...","₦12,000",Hotel,17,NA,NA
466,Adonai Hotel,Kubwa,"Kubwa, Abuja - Plot C144 New Site P Series Layout, Opposite Army ...","₦3,300",Hotel,17,NA,NA
467,Giwa Hotel,Jikwoyi,"Jikwoyi, Abuja - Jikwoyi Phase II, Abuja, Jikwoyi","₦1,900",Giwa Hotel,17,NA,NA
468,Laps New World Hotel,Jabi,"Jabi, Abuja - 364, Obafemi Awolowo Way Jabi FCT","₦15,000",Hotel,9,NA,NA
469,Omegah Hotels,Wuse,"Wuse, Abuja - Plot 1981 Lome Street Zone ","₦7,000",Hotel,15,NA,NA
470,Grand Ville Hotel,Gwarinpa ,"Gwarinpa , Abuja - Road 351, House 26/28, Gwarinpa 3rd Avenue ","₦10,000",Grand Ville Hotel,14,NA,NA
471,Bricks Point - Boutique Apartments ,Wuse 2,"Wuse 2, Abuja - 11 Adzope Crescent, Wuse 2","₦72,000",Apartment,7,NA,NA
472, Asej Gems Apartments,Mabuchi,"Mabuchi, Abuja -  Behind Capital Hub Mabushi","₦40,000", Asej Gems Apartments,7,NA,NA
473,Berbera Palace Royale ,Wuse 6,"Wuse 6, Abuja - 2 Berbera Street,, Off Yaounde Street, Wuse Zone 6","₦13,975",Hotel,6,NA,NA
474,De-Masters Guest House,Abuja,"Abuja, Abuja - Behind Aso Bank, Abuja","₦1,600",De-Masters Guest House,12,NA,NA
475,Zuba Guest House,Maitama,"Maitama, Abuja - Behind Aso Bank, Abuja, Maitama","₦2,000",Zuba Guest House,12,NA,NA
476,EXCLUSIVE SMART LOUNGE AND RESORT LTD,,", Abuja - No 13, Zone B5, Utako District, Opposite ABC Trans...","₦8,000",Hotel,12,NA,NA
477,Samaritan Guest House,Gwarinpa,"Gwarinpa, Abuja - Plot 55 4th Avenue ","₦9,000",Hotel,10,NA,NA
478,Astot Leisure Garden Limited, Karu," Karu, Abuja - 1, Astot Close , Off Victor Moure Lane, Opposite C...","₦7,500",Astot Leisure Garden Limited,10,NA,NA
479,Cappo Guest House,Lugbe,"Lugbe, Abuja -  Plot 260 Federal Housing Authority, Abuja, Lugbe","₦3,300",Cappo Guest House,10,NA,NA
480,Sauma Suites Hotel,Abuja,"Abuja, Abuja - 1 Close, Sani Abacha Road, Shendam","₦5,140",Sauma Suites Hotel,5,NA,NA
481,S.A Mews Luxury Apartment,Asokoro,"Asokoro, Abuja - No.10 Ukpabi Ashika Street Off Yakubu Gowon Cresen...","₦120,000",Apartment,8,NA,NA
482,Abatete Guest House Ltd,Mabushi,"Mabushi, Abuja - Plot 812, Block 1 Behind V. I.O Office , Jagun Est...","₦5,000",Abatete Guest House Ltd,8,NA,NA
483,Finco Guest Inn,Abuja,"Abuja, Abuja -  24, Off Berger Quarry Road, Abuja","₦2,800",Finco Guest Inn,8,NA,NA
484,Tonis Hotels,Madalla,"Madalla, Abuja -  Back Of NNPC Zuba, Abuja, Madalla","₦1,350",Tonis Hotels,8,NA,NA
485,Metro Delight Hotel,Kubwa,"Kubwa, Abuja - Bwari Road, , Dutse-Makaranta, Abuja, Kubwa","₦5,500",Metro Delight Hotel,8,NA,NA
486,Aniben Guest House,Kubwa,"Kubwa, Abuja - Plot 5/6, Kubwa Extension Pipeline, Abuja, Kubwa, ","₦2,300",Aniben Guest House,8,NA,NA
487,Companion Guest House,Old Karu,"Old Karu, Abuja - Block 252, Abuja, Old Karu","₦4,500",Companion Guest House,8,NA,NA
488,Liberty Holdings Hotel Ltd,Kubwa,"Kubwa, Abuja - Arab Road, Oppsite Dominion Hotel, Kubwa",NA,Liberty Holdings Hotel Ltd,8,NA,NA
489,The Ambassador International Resort And Suites,Jabi,"Jabi, Abuja - 6, Patrick Bokkor Crescent, Off Ebitu Ukiwe Street...","₦32,000",Hotel,8,NA,NA
490,Amazonia Guest House,Lugbe,"Lugbe, Abuja - Plot 612A, End 22 Road, Lugbe, Abuja, Nigeria",NA,Amazonia Guest House,6,NA,NA
491,De-Exclusive Hotel,Apo,"Apo, Abuja - Along Apo Resettlement Centre, Apo, Abuja, Nigeria...",NA,De-Exclusive Hotel,6,NA,NA
492,Kings Land Hotel,Gwagwa,"Gwagwa, Abuja - Along Airport Road, Jiwa, Abuja, Gwagwa","₦3,000",Kings Land Hotel,6,NA,NA
493,Relais Hotel,Asokoro,"Asokoro, Abuja - Rue Gallieni","₦11,598",Relais Hotel,3,NA,NA
494,"Aveon Hotel, Abuja",Guzape,"Guzape, Abuja -  Plot 473, Ihechukwu Madubuike Street, Guzape ","₦67,500",Hotel,6,NA,NA
495,"Salx Hotels, Abuja",Karu,"Karu, Abuja - After NNPC, By Aja Modern School Before Roundabout","₦5,000","Salx Hotels, Abuja",4,NA,NA
496,Hotel Ben Calik,Jikwoyi,"Jikwoyi, Abuja - S S S Quarter Road, Abuja, Jikwoyi","₦3,000",Hotel Ben Calik,4,NA,NA
497,Ruminco Guest Inn,Kubwa,"Kubwa, Abuja - After NYSC Junction, Abuja, Kubwa","₦3,000",Ruminco Guest Inn,4,NA,NA
498,Loaded Guest House,Lugbe,"Lugbe, Abuja - Plot 609A, F.H.A, Airport Road, Abuja, Lugbe","₦5,040",Loaded Guest House,4,NA,NA
499,Femas Hotel, Jikwoyi," Jikwoyi, Abuja - Behind Christ Apostolic Church, Abuja, Jikwoyi","₦2,000",Femas Hotel,4,NA,NA
500,White Safari Guest House,Kubwa,"Kubwa, Abuja - NNPC Junction, By Zenith Bank, Abuja, Kubwa","₦2,700",White Safari Guest House,4,NA,NA
501,Lokun Piccadilly Guest Inn, Mpape," Mpape, Abuja - 4 Lokun Avenue, Abuja, Mpape","₦4,500",Lokun Piccadilly Guest Inn,4,NA,NA
502,Green Guest House,Jikwoyi,"Jikwoyi, Abuja - Along Kareshi, By NEPA, Abuja, Jikwoyi","₦1,800",Green Guest House,4,NA,NA
503,No.1 Hotel Nyanya,Nyanya,"Nyanya, Abuja - No 1A,Cementry Road Area D, Abuja, Nyanya","₦1,000",No.1 Hotel Nyanya,4,NA,NA
504,Adisun Guest House,Abuja,"Abuja, Abuja - Opposite Catholic Church, Abuja","₦3,000",Adisun Guest House,4,NA,NA
505,AM-PM Guest House,Mpape,"Mpape, Abuja - Opposite Primary School/Police Station, Abuja, Mpa...","₦1,700",AM-PM Guest House,4,NA,NA
506,Thank God Hotel,Lugbe,"Lugbe, Abuja - Durumi, Mpape, Abuja, Lugbe","₦3,000",Thank God Hotel,4,NA,NA
507,Zanzibar Hotel Abuja,Orozo,"Orozo, Abuja - New GRA, Angwam Sarki, Abuja, Orozo","₦3,000",Zanzibar Hotel Abuja,4,NA,NA
508,Jikwoyi Guest House, Jikwoyi," Jikwoyi, Abuja - Angwagede Layout, Abuja, Jikwoyi",NA,Jikwoyi Guest House,4,NA,NA
509,Queen's Rapour Guest House,Kubwa,"Kubwa, Abuja - Rumji - Zuba, By Kubwa Express Way, Abuja, Kubwa",NA,Queen's Rapour Guest House,4,NA,NA
510,Abuja Dannic Hotels, Area 2," Area 2, Abuja - Plot 93 Oyo Street, Abuja, Area 2",NA,Abuja Dannic Hotels,4,NA,NA
511,"Crown Apartments Extended Stay Suites,Abuja",Asokoro,"Asokoro, Abuja - Plot 1373 (NO3) Justice Atanda Fatai Williams Stre...","₦18,750",Hotel,4,NA,NA
512,Johnson Suites,Gwarinpa,"Gwarinpa, Abuja - 1, Muhammadu Buhari Crescent, Gwarinpa","₦2,800",Johnson Suites,2,NA,NA
513,Green Minds Hotel Ltd,Utako,"Utako, Abuja - Plot 764, Cadastral Zone B05, Utako, ",NA,Green Minds Hotel Ltd,1,6.8 Very Good,From 1 review
514,Polygon Guest Inn,Zuba,"Zuba, Abuja - Lagos Park, Tundermadi Road",NA,Polygon Guest Inn,2,NA,NA
515,Mcpaulson Hotels Limited,Wuse 2,"Wuse 2, Abuja - Ademola Adetokunbo Crescent",NA,Mcpaulson Hotels Limited,2,NA,NA
516,Mesko Love Guest Inn,Lugbe,"Lugbe, Abuja - Zuba Express Way, Lugbe, Abuja,",NA,Mesko Love Guest Inn,2,NA,NA
517,Bold Apartment Jabi,Abuja,"Abuja, Abuja - 45 Ebitu Ukiwe Street, Jabi, Abuja",NA,Hotel,2,NA,NA
518,"Halbiz Apartrment, Garki.",Abuja,"Abuja, Abuja - No 22 Dunukofia Street Opp Ministers Gate, Area 11...",NA,Hotel,2,NA,NA
519,Eldit Royale Hotel,Karu,"Karu, Abuja - Plot 86B, Karu Abuja.",NA,Eldit Royale Hotel,2,NA,NA
520,Metro Delight,Kubwa,"Kubwa, Abuja - Bwari Road, , Dutse-Makaranta, Kubwa, Abuja, Niger...",NA,Metro Delight,2,NA,NA
521,Roskel Guest House,Kubwa,"Kubwa, Abuja - Plot 22A, Phase 4, Kubwa, Kubwa, Abuja, Nigeria","₦5,000",Roskel Guest House,2,NA,NA
522,Leisure Klass Guest House,Lugbe,"Lugbe, Abuja - Plot 983, 23rd Road, 3rd Avenue, F.H.A. Estate, Lu...","₦4,000",Leisure Klass Guest House,2,NA,NA
523,Roxy Guest Inn,Mpape,"Mpape, Abuja - No 88, Ajegunle Road, Abuja, Mpape","₦4,000",Roxy Guest Inn,2,NA,NA
524,White House Inn,Lugbe,"Lugbe, Abuja - Dei-Dei, Saburi II, Abuja, Lugbe","₦3,000",White House Inn,2,NA,NA
525,Garden City Guest Inn,Nyanya,"Nyanya, Abuja - Phase 4 Boundary Road, Abuja, Nyanya","₦3,500",Garden City Guest Inn,2,NA,NA
526,De Packland Hotel,Nyanya,"Nyanya, Abuja - Maraba Kabayi, Across River, Abuja, Nyanya","₦4,000",De Packland Hotel,2,NA,NA
527,Alifar Guest House, Mpape," Mpape, Abuja - E Plot 13/14 Central Hill Avenue Mpape, Abuja, Mpa...","₦3,000",Alifar Guest House,2,NA,NA
528,Vatis Guest Inn, Mpape," Mpape, Abuja - (Green Roof) Zast Borehole, Mashafi, Abuja, Mpape","₦7,000",Vatis Guest Inn,2,NA,NA
529,Boys To Men Lounge,Mpape,"Mpape, Abuja - Mashafa Road, Abuja, Mpape","₦2,000",Boys To Men Lounge,2,NA,NA
530,Stop Over Guest House,Nyanya,"Nyanya, Abuja - Nyanya Last Road Area, Abuja, Nyanya",NA,Stop Over Guest House,2,NA,NA
531,Sampona Guest Inn,Nyanya,"Nyanya, Abuja - Area E, Mopol Road, Abuja, Nyanya","₦2,000",Sampona Guest Inn,2,NA,NA
532,Happy Life Resort,Kubwa,"Kubwa, Abuja - Ayagunle Road GRA, Abuja, Kubwa","₦5,000",Happy Life Resort,2,NA,NA
533,King Daniel Hotel, Muko Dutse," Muko Dutse, Abuja - ECWA Church, Muko Dutse, Abuja","₦2,400",King Daniel Hotel,2,NA,NA
534,Top Klaz Hotels Limited, Kubwa," Kubwa, Abuja - Plot 419 Exetension 2, Abuja, Kubwa","₦4,000",Top Klaz Hotels Limited,2,NA,NA
