,Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
83, Villa U Hotels,Wuse,"Wuse, Abuja - N0. 29, Plot 733, Alexandria Street, Off Aminu Kan...","₦20,156",Hotel,856,NA,NA
84,VYNEDRESA HOTEL ABUJA ,Garki ,"Garki , Abuja - 8 Uyo Crescent, Off Emeka Anyaoku Street, Area 11,...","₦35,000",Luxury Hotel,566,7.4 Very Good,From 5 reviews
85,Hemas Hotels ,Life Camp,"Life Camp, Abuja - No 2 Adamu Fika Street, Life Camp","₦20,000",Hotel,439,NA,NA
86,Iris Hotel Abuja,Wuse 2,"Wuse 2, Abuja - 34 Lingu Crescent, Off Aminu Kano Crescent, Wuse 2","₦49,050",Hotel,365,NA,NA
87,"Crystal Palace Hotel, Abuja",Garki,"Garki, Abuja - 29, Plot 687, Port Harcourt Crescent, Off Ahmadu B...","₦16,500",Budget Hotel,862,6.8 Very Good,From 12 reviews
88,Valencia Hotels Abuja,Wuse,"Wuse, Abuja - 44 Blantyre Street, Off Adetokunbo Ademola Crescen...","₦54,050",Hotel,378,NA,NA
89,Roop Hotels Limited,Kubwa,"Kubwa, Abuja - 	Off PHCN Road, Phase IV, Kubwa, Abuja, FCT","₦8,500",Hotel,772,NA,NA
90,City Transit Inn,Utako,"Utako, Abuja - Plot 7, A.E Ekukinam Street, ABC Transport Buildin...","₦12,000",Hotel,1064,7.4 Very Good,From 2 reviews
91,Residency Hotel Area 11,Garki ,"Garki , Abuja - Plot 4 Port Harcourt Crescent, Garki","₦46,000",Hotel,270,6.1 Very Good,From 3 reviews
92,BON Hotel Elvis,Wuse 2,"Wuse 2, Abuja - 2 Monrovia Street, Wuse II ","₦63,800",Hotel,590,NA,NA
93,House 6 Apartment,Garki,"Garki, Abuja - No. 6 Gashua Close Area 8","₦20,000",Hotel,363,NA,NA
94,"Apple Suite Formerly (Kay Kryxtal Suites, APO)",Apo,"Apo, Abuja - Behind AP Filling Station, Near APO Legislative Qu...","₦20,000",Hotel,250,NA,NA
95,Paris Le Lodge ,Abuja,"Abuja, Abuja - Plot 177A, 441 Crescent, CITEC Villa, Gwarinpa Abu...","₦12,000",Hotel,226,NA,NA
96,Kudina Luxury Apartments,Gwarinpa,"Gwarinpa, Abuja - Plot 24, Block V, Federal Ministry Of Works & Hous...","₦27,500",Apartment,226,NA,NA
97,Abuja Bays Garden Hotels Limited,Wuse,"Wuse, Abuja - No 3 Port Novo Crescent Wuse Ll, Abuja","₦18,000",Hotel,179,NA,NA
98,MMM House,Garki 2,"Garki 2, Abuja - Plot 124, Ladoke Akintola Boulevard, Garki 2","₦21,500",Apartment,131,NA,NA
99,Calbert Lodge,Garki,"Garki, Abuja - No. 16, Aba Close, Off Ogbomosho Street, By Lokoja...","₦16,000",Hotel,691,NA,NA
100,The Envoy, Abuja," Abuja, Abuja - 305 Diplomatic Drive, Central Business District","₦153,200",Hotel,408,NA,NA
101,BON Hotel Abuja (Formerly Protea Hotel Abuja),Maitama,"Maitama, Abuja - 3 Negro Crescent, Maitama","₦92,000",Luxury Hotel,486,NA,NA
102,Diamond Suites Hotel ,Utako,"Utako, Abuja - 19, Moses Majekodumi, Utako, Along Edo Line Transp...","₦13,500",Hotel,313,7.2 Very Good,From 2 reviews
103,Dayspring Hotels,"Wuse, Zone 6","Wuse, Zone 6, Abuja -  4, Juba Street, Zone 6, Wuse District, Abuja","₦20,000",Hotel,560,7.7 Very Good,From 7 reviews
104,Peace Royal Resort,Gwarinpa,"Gwarinpa, Abuja - Plot 88, 43 Crescent 4th Avenue","₦10,000",Hotel,503,NA,NA
105,Degok Hotel Limited,Gwarinpa,"Gwarinpa, Abuja - House 13 And 14, A Close, 3rd Avenue Close To Gwar...","₦15,000",Hotel,391,NA,NA
106,Mission Guest House,Wuse,"Wuse, Abuja - 34 Blantyre Street Off Adetokunbo Ademola Crescent","₦12,200",Hotel,904,NA,NA
107,Babcock Guest House,Wuse,"Wuse, Abuja - 11, Hombori Street, Off Freetown Street","₦12,000",Guest House,356,6.8 Very Good,From 2 reviews
108,Camzy Villa Hotel,Kubwa,"Kubwa, Abuja - Plot 21, Queen Aminah Street, Beside Yellow Page J...","₦10,500",Hotel,233,7.5 Very Good,From 6 reviews
109,Immaculate Diamond Hotels & Apartments,Wuse,"Wuse, Abuja - Plot 110 Adetunko Ademola Crescent","₦58,350",Hotel,369,6.8 Very Good,From 9 reviews
110,Pearl Manor Luxury Suites,Galadimawa,"Galadimawa, Abuja - 10/18, Osun Street, Suncity Estate","₦22,500",Hotel,146,NA,NA
111,Moit Guest Inn,Lugbe,"Lugbe, Abuja - 1st Avenue, 6 Road, FHA Estate, Phase 2",NA,Moit Guest Inn,88,NA,NA
112,Kings Court Apartment ,Abuja,"Abuja, Abuja - Plot 107 Games Village Kuara District ","₦15,000",Hotel,67,6.4 Very Good,From 1 review
113,Nugget Hotels,Utako,"Utako, Abuja - Plot 129 Okotie Eboh Crescent","₦32,500",Budget Hotel,1304,NA,NA
114,De Agape Regency Hotels Limited,Wuse,"Wuse, Abuja - Plot 11, Amino Kano Crescent ","₦11,500",Hotel,337,6.1 Very Good,From 3 reviews
115,Hans Place,Asokoro,"Asokoro, Abuja - No. 14, Plot 583A, Ganassingbe Eyadema Street","₦45,000",Hotel,309,6.4 Very Good,From 1 review
116,Newton Park Hotel,Wuse,"Wuse, Abuja - Plot 2175 Cadastral Zone, 8 Cape Town Street, Of I...","₦60,000",Hotel,300,6.2 Very Good,From 10 reviews
117,Deroma Hotels , Kuje," Kuje, Abuja -  Behind Union Homes, Off Kuchiyako Road, Kuje,","₦10,000",Hotel,393,NA,NA
118,Grange Hill Abuja,Mpape,"Mpape, Abuja - Plot A26, Mpape Hills, Abuja, Lagos","₦16,445",Hotel,324,NA,NA
119,Petrock Guest House,Lugbe,"Lugbe, Abuja - Plot 300, 1st Avenue Phase 1, FHA",NA,Hotel,79,NA,NA
120,Fritz Apartments (Formerly Caledonian Suites),Maitama,"Maitama, Abuja - 21 Usuma Street, Off Gana Street, Maitama","₦60,000",Hotel,304,NA,NA
121,1 Apartment And Suites ,Kubwa,"Kubwa, Abuja - Plot M175, Extension3, Behind Living Faith Church,...","₦7,500",Hotel,207,NA,NA
122,Chida Hotels,Asokoro,"Asokoro, Abuja - Plot 302, Jimmy Carter Street, Off Shehu Shagari W...","₦25,000",Hotel,320,NA,NA
123,Cowrie Guest House,Karu,"Karu, Abuja -  No 1, Zanyabelo Street, Jikwoyi Road Dugudna, Off...","₦5,000",Hotel,207,NA,NA
124,Angeles Hotel,Garki,"Garki, Abuja - Plot 17 Yauri Close, Beside FCDA Staff Quarters Ph...",NA,Hotel,205,6.3 Very Good,From 3 reviews
125,Cosyrest Guest House,Gwagwalada,"Gwagwalada, Abuja -  Plot 9/10, Customs Layout, Opposite Gwagwalada Sp...","₦13,000",Hotel,149,NA,NA
126,Divine Suites,Nyanya ,"Nyanya , Abuja - Dantata Quarters Road, By Police Check Point",NA,Hotel,121,6.8 Very Good,From 1 review
127,Pearl Gate Hotel,Wuse Zone 4,"Wuse Zone 4, Abuja - 11 SUEZ CRESCENT, SANI ABACHA ESTATE, OFF LADI KWA...","₦29,900",Hotel,415,NA,NA
128,Margarettas Classic Suites ,Utako,"Utako, Abuja - Plot 510, Wushishi Crescent ( Off Okonjo Iweala Cr...","₦16,638",Hotel,240,7.6 Very Good,From 1 review
129,Sentinel Apartments And Suites,Area 1,"Area 1, Abuja - Plot 709, Cadastral Zone, By VIO Office, Behind CA...","₦15,000",Hotel,99,NA,NA
130,Neighbourhood Guest Houses Limited,Kado,"Kado, Abuja - Plot 20 Akande S.B. Street, Kado 1, Abuja","₦11,900",Hotel,497,7.9 Very Good,From 3 reviews
131,Chinox Guest Inn,Wuse Zone 6,"Wuse Zone 6, Abuja - Plot 12 Cotonou Crescent","₦9,900",Hotel,551,7.1 Very Good,From 6 reviews
132,Hotel House 1 (Formerly Whytewaters Hotels),Gwarinpa,"Gwarinpa, Abuja - House 1, Road 111, Off 3rd Avenue, Gwarimpa ","₦8,000",Hotel,382,NA,NA
133,Chelsea Hotel (Wuse 2),Wuse,"Wuse, Abuja - Plot 374 E, Adetokunbo Ademola Crescent.","₦63,750",Hotel,304,NA,NA
134,DWELL APARTMENTS,Maitama,"Maitama, Abuja - No. 21 Ganges Street, Off Alvan Ikoku Way, Ministe...","₦30,000",Hotel,95,NA,NA
135,World Class Hotel ,Mpape,"Mpape, Abuja - Plot K114 Patrick Aren Avenue Mpape Abuja (Beside ...","₦13,500",Hotel,326,NA,NA
136,JOY HOUSE HOTEL AND SUITES ,Garki,"Garki, Abuja - 1077 Cadestral Zone, Area 3 Junction, Garki","₦15,000",Hotel,186,NA,NA
137,Chesbon Hotels,Kubwa,"Kubwa, Abuja - 116, Suttan Dasuki Road, Kubwa, Abuja, FCT",NA,Hotel,97,NA,NA
138,L'eola Suites,Central Business District,"Central Business District, Abuja - 5th Floor, Leadway House, Plot 1061, Herbert Macau...","₦82,600",Hotel,358,NA,NA
139,Dilic Hotel Limited ,Wuse,"Wuse, Abuja - Plot 1123 (1), Freetown Street, Adetokunbo Ademola...","₦30,200",Hotel,281,6.1 Very Good,From 3 reviews
140,Hotel Interconnect,Gwarinpa,"Gwarinpa, Abuja - Plot C115/116, 1st Avenue, Gwarinpa","₦18,000",Hotel,231,NA,NA
141,Trafford Hotel,Gwarinpa ,"Gwarinpa , Abuja -  13/14 Wole Soyinka Street 2nd Avenue After PHCN O...",NA,Hotel,88,NA,NA
142,Shindna Guest House,Karu,"Karu, Abuja - No 1 Peshe, Karu Village, Karu, Abuja ",NA,Hotel,62,NA,NA
143,Arlington Hotels , Kubwa," Kubwa, Abuja - Plot 166 Bakori Road, PW","₦13,000",Hotel,709,7.5 Very Good,From 7 reviews
144,CJ Planet International Hotel,Garki,"Garki, Abuja - Plot 598, Durumi Road,  Off Old Federal Secretaria...","₦9,500",Hotel,1022,NA,NA
145,Ibeto Hotels Abuja,,", Abuja - #34 David Ejoor Crescent   Apo, Gudu District   Ab...","₦68,000",Hotel,527,NA,NA
146,House-19 Apartments,Asokoro,"Asokoro, Abuja - Plot 913, Behind INEC Quarters, Beside Club 40/40,...","₦8,000",Hotel,406,NA,NA
147,Havista Hotels Limited,Asokoro,"Asokoro, Abuja - 24 Mungo Park Close Via Shehu Shagari Way By Deepe...","₦22,000",Hotel,346,NA,NA
148,Serendib Hotels (Formerly Lake Crescent Hotel),Jabi,"Jabi, Abuja - No 29, Umaru Dikko Street, Jabi, Abuja","₦33,000",Hotel,213,NA,NA
149,Hotel De Bently,Utako,"Utako, Abuja - 894, N, Okonjoiweala Way, Utako, Abuja","₦28,160",Hotel,142,NA,NA
150,Grand Pela Hotel And Suites,AMAC,"AMAC, Abuja - Plot 649 Cadastral Zone, Durumi","₦70,000",Hotel,95,NA,NA
151,Nigerlink  Hotels Limited,Wuse,"Wuse, Abuja - Plot 4 Malanje Street,  Abuja Municipal","₦10,200",Hotel,263,NA,NA
152,Stanzel Grand Resort,Gwarinpa,"Gwarinpa, Abuja - Plot C103, Along A Close, Off 1st Ave., Behind Fid...","₦20,300",Hotel,209,NA,NA
153,Dumeros GH,Gudu,"Gudu, Abuja - Block D24, 24th Street, Games Village Estate, Gudu","₦17,000",Hotel,209,NA,NA
154,Statement Hotel,Central Business District,"Central Business District, Abuja -  1002 Ahmadu Bello Way, Phase ,1 Beside Abia House","₦40,000",Hotel,118,NA,NA
155,Boardwalk Hotel,Wuse,"Wuse, Abuja - No 43b Khartoum Street, Off Accra Street, Wuse Zon...","₦20,000",Hotel,105,NA,NA
156,Park Place Hotel,Utako,"Utako, Abuja - Plot 22, F. Okotie Eboh Crescent","₦12,000",Budget Hotel,2210,7.3 Very Good,From 14 reviews
157,Yaban Hotel,Wuse,"Wuse, Abuja - 21 Alexandria Crescent, Off Aminu Kano Crescent","₦20,000",Hotel,469,NA,NA
158,Agura Hotel,Garki,"Garki, Abuja - Moshod Abiola Road, P.M.B 40 Abuja,Nigeria.","₦25,000",Luxury Hotel,345,6.6 Very Good,From 6 reviews
159,Ivana Suites Apartments ,Wuse2,"Wuse2, Abuja - NO.20 LINGU CRESCENT, OFF AMINO KANO CRESENT, WUSE...","₦40,000",Hotel,294,NA,NA
160,Sandralia Hotel,Jabi,"Jabi, Abuja - No 1. SOlomon Lar Way, Jabi","₦70,000",Luxury Hotel,289,7.7 Very Good,From 5 reviews
161,Commodore Suites,Wuse,"Wuse, Abuja - Plot 432 Kumasi Crescent Off Aminu Kano Crescent","₦25,000",Hotel,71,NA,NA
162,Ivy Constellation Hotel,Kubwa,"Kubwa, Abuja - 007 Lagos Crescent, Off Gado Nasko Way","₦7,500",Hotel,317,NA,NA
163,Royalton Hotels Abuja,Area 2 Garki,"Area 2 Garki, Abuja - No. 16, Gongola Street, Off Moshood Abiola Way, Vi...","₦35,000",Hotel,276,NA,NA
164,"Prixair Hotels, Wuse",Wuse,"Wuse, Abuja - 14 Cotonou Crescent Off Bissau Street Behind Forme...","₦17,050",Hotel,209,7.1 Very Good,From 3 reviews
165,Modoc Hotel,Gwagwalada,"Gwagwalada, Abuja - Along FRCN Road, Kuntunkun","₦13,000",Hotel,97,NA,NA
166,AES Luxury Apartments,Jabi,"Jabi, Abuja - Plot 1118 Daki Biu District, Jabi/Airport Road","₦45,000",Hotel,235,NA,NA
167,De-Dominic Suites ,Gwarinpa,"Gwarinpa, Abuja - F Close, First Avenue, Gwarinpa Estate","₦12,500",Hotel,224,NA,NA
168,Newcastle Hotel,Wuse,"Wuse, Abuja - 7 Kumasi Crescent, Off Aminu Kano Crescent","₦30,500",Hotel,196,NA,NA
169,Aneio Hotels Limited,Utako,"Utako, Abuja - Plot 396 Augustus Aikhomu Way ","₦11,000",Hotel,172,NA,NA
170,Jasmine Hotel & Restaurant (Formerly Heartland Place And Event Hotel),Central Business District,"Central Business District, Abuja - N0.82 Ralph Shodeinde Street (NEXT TO RIVER'S HOUS...","₦29,500",Hotel,147,NA,NA
171,Alpina Lodge (Former Ascort Hotels),Wuse,"Wuse, Abuja - Plot 92, Yaounde Street, Zone 6","₦15,000",Hotel,133,NA,NA
172,Grace Point Resort Hotel ,Wuse,"Wuse, Abuja - Kananga Close, Off Yaounde Street, Wuse Zone 6,  A...",NA,Hotel,75,6.7 Very Good,From 4 reviews
173,Tofana Hotels And Apartments,Life Camp,"Life Camp, Abuja - Behind Skye Bank, Life Camp","₦50,000",Hotel,67,7.4 Very Good,From 4 reviews
174,Bedochi Guest House,Wuse,"Wuse, Abuja - Plot 55, Abidjan Street, Wuse Zone 3.",NA,Hotel,47,NA,NA
175,Zizi Apartment Abuja,Garki,"Garki, Abuja - 115 Emeka Anyaoku Street, Area 8 Garki","₦25,200",Hotel,43,NA,NA
176,Alphaplus Apartments,Jabi,"Jabi, Abuja - No 91 Ebitu Ukiwe Street, Jabi, FCT","₦53,750",Hotel,40,NA,NA
177,FINMARK APARTMENTS,Apo,"Apo, Abuja - 7, EVANS ENWEREM STREET, NATIONAL ASSEMBLY QUATERS...","₦20,000",Hotel,27,NA,NA
178, New Blue Diamond Hotel(Formerly Rosebud Hotel) ,Gwarinpa,"Gwarinpa, Abuja - Plot C56 5th Avenue, Tai Solarin Avenue Gwarinpa E...","₦15,000",Budget Hotel,583,6.7 Very Good,From 12 reviews
179,Sun Heaven Hotel Asokoro,Asokoro,"Asokoro, Abuja -   36 Manman Nasir, Asokoro, ","₦33,000",Hotel,434,NA,NA
